symbol,name
KZPC,Kafr El Zayat Pesticides & Chemical Co.
LCSW,Lecico Egypt SAE
LUTS,Lotus For Agricultural Investments And Development
MAAL,Marseilla Al Masreia Al Khalegeya for Holding Investment
MASR,Madinet Masr for Housing & Development
MBEG,MB for Engineering & Contracting
MBSC,Misr Beni Suef Cement Co. SAE
MCQE,Misr Cement Co. (Qena)
MCRO,Macro Group Pharmaceutical S.A.E.
MEGM,Middle East Glass Manufacturing SAE
MENA,Mena Touristic & Real Estate Investment
MEPA,Medical Packaging Company
MFPC,Misr Fertilizers Production Company MOPCO
MFSC,Misr Duty Free Shops Co.
MHOT,Misr Hotels Co.
MICH,Misr Chemical Industries Ltd.
MILS,North Cairo Mills Co.
MIPH,Minapharm Pharmaceuticals
MISR,MISR Intercontinental for Granite & Marble
MKIT,Misr Kuwait Investment & Trading Co.
MLIC,Misr Life Insurance
MMAT,Marsa Marsa Alam for Tourism Development
MOED,Egyptian Modern Education Systems
MOIL,Maridive & Oil Services SAE
MOIN,Mohandes Insurance Co.
MOSC,Misr Oils & Soap Co.
MPCI,Memphis Pharmaceutical & Chemical Industries
MPCO,Mansourah Poultry Co.
MPRC,Egyptian Media Production City
MTIE,MM Group for Industry & International Trade
NAHO,Naeem Holding Co.
NARE,Naeem Real Estate Holding Group
NCCW,Nasr Co. for Civil Works
NDRL,National Drilling Co.
NEDA,Northern Upper Egypt Development & Agricultural Production
NHPS,National Housing for Professional Syndicates
NINH,Nozha International Hospital
NIPH,El-Nile Co. for Pharmaceuticals & Chemical Industries
NMIN,El Nasr Mining Co Egp10
OBRI,El Obour Real Estate Investment
OCDI,Six of October Development & Investment (SODIC)
OCPH,October Pharma Co.
ODIN,ODIN Investments
OFH,O B Financial Holding
OIH,Orascom Investment Holding SAE
OLFI,Obour Land for Food Industries
ORAS,Orascom Construction Plc
ORHD,Orascom Development Egypt (S.A.E)
ORWE,Oriental Weavers Carpet
PHAR,Egyptian International Pharmaceutical Industries Co.
PHDC,Palm Hills Development Co.
PHTV,Pyramisa Hotels
POCO,Port Said Container And Cargo Handling
POUL,Cairo Poultry Co.
PRCL,General Co. for Ceramic & Porcelain Products
PRDC,Pioneers Properties for Urban Development
PRMH,Prime Holding
QNBE,Qatar National Bank
RACC,Raya Contact Center
RAKT,Rakta Paper Manufacturing
RAYA,Raya Holding for Financial Investments SAE
RKAZ,REKAZ Financial Holding
RMDA,Tenth of Ramadan Pharmaceutical Industries & Diagnostic-Rameda
ROTO,Rowad Tourism (Al Rowad) Co
RREI,Arab Real Estate Investment Co.
RTVC,Remco for Touristic Villages Construction
RUBX,Rubex International for Plastic & Acrylic Manufacturing
SAIB,Societe Arabe Internationale de Banque
SAUD,Al Baraka Bank Egypt
SCEM,Sinai Cement Co.
SCFM,South Cairo & Giza Mills & Bakeries
SCTS,Sues Canal Co. for Technology Settling
SDTI,Sharm Dreams Co. for Tourism Investment
SEIG,Saudi Egyptian Investment & Finance Co. SAE
SEIGA,Saudi Egyptian Investment & Finance Co. SAE
SIEG,Egyptian Company for Pipes and Cement Products -Siegwart
SIPC,Sabaa International Company for Pharmaceutial and Chemical Industry
SKPC,Sidi Kerir Petrochemicals
SMFR,Samad Misr-EGYFERT
SNFC,Sharkia National Food
SPHT,El Shams Pyramids Co. for Hotels & Touristic Projects SAE
SPIN,Alexandria Spinning & Weaving
SPMD,Speed Medical SAE
SUGR,Delta Sugar
SVCE,South Valley Cement Co.
SWDY,El Sewedy Electric Company
TALM,Taaleem Management Services S.A.E
TANM,Tanmiya for Real Estate Investment
TAQA,TAQA Arabia
TMGH,Talaat Moustafa Group Holding
TRTO,TransOceans Tours
TWSA,TAWASOA FOR FACTORING
UBEE,United Bank SAE
UEFM,Upper Egypt Flour Mills Co.
UEGC,El-Saeed Contracting & Real Estate Investment Co. SCCD
UNIP,Universal Co. for Paper & Packaging Materials-Unipack
UNIT,United Housing Construction SA
