symbol,name,exchange,type,specs
KRBN.DU,KraneShares Global Carbon Strategy ETF,ADX,fund,etf
KWEB.DU,KraneShares CSI China Internet ETF,ADX,fund,etf
KWTI.DU,CHIMERA S&P KUWAIT SHARIAH ETF-Share Class B-Income,ADX,fund,etf
LUXURY.DU,Boreas S&P Absolute Luxury UCITS ETF - AED,ADX,fund,etf
PKSTN.DU,Chimera S&P Pakistan UCITS ETF- Share D - Income,ADX,fund,etf
QUANTM.DU,Chimera UCITS ICAV - Boreas Solactive Quantum Computing UCITS ETF Unhedged AED,ADX,fund,etf
REIT.DU,Emirates REIT (CEIC) PLC,NASDAQDUBAI,fund,trust
SAUDIA.DU,CHIMERA S&P KSA SHARIAH ETF-SHARE CLASS B-INCOME,ADX,fund,etf
SUKUK.DU,Chimera Umbrella Fund - Chimera JP Morgan Global   Sukuk,ADX,fund,etf
TURKI.DU,CHIMERA S&P TURKEY SHARIAH ETF SHARE CLASS B - Income,ADX,fund,etf
UAEA.DU,Chimera S&P UAE Shariah ETF- Share class A- Accumulating,ADX,fund,etf
UAED.DU,CHIMERA S&P UAE UCITS ETF - SHARE CLASS D INCOME,ADX,fund,etf
USGRWTH.DU,Chimera S&P US Shariah Growth ETF - Share Class A - Accumul,ADX,fund,etf
USTBILL.DU,Chimera iBoxx US Treasury Bill ETF Units B,ADX,fund,etf
USVALUE.DU,Chimera S&P US Shariah Value ETF - Share Class B -  Income,ADX,fund,etf
