symbol,name
AALR.CA,General Co. for Land Reclamation Development & Reconstruction
ABUK.CA,Abou Kir Fertilizers & Chemical Industries Co.
ACAMD.CA,Arab Co. for Asset Management & Development
ACAP.CA,A Capital Holding
ACFR.CA,Alexandria Company For Refractories
ACGC.CA,Arab Cotton Ginning Co.
ACTF.CA,Act Financial
ADCI.CA,Arab Pharmaceuticals
ADIB.CA,Abu Dhabi Islamic Bank-Egypt
ADPC.CA,Arab Dairy Products Co. Arab Dairy - Panda
ADRI.CA,Arab Development & Real Estate Investment
AFDI.CA,Alahly For Development & Investment
AFMC.CA,Alexandria Flour Mills Co.
AIDC.CA,Arabia for Investment and Development
AIFI.CA,Atlas for Investment & Food Industries SAE
AIH.CA,Arabia Investments Holding SAE
AJWA.CA,Ajwa for Food Industries Co. Egypt
ALCN.CA,Alexandria Containers & Goods
ALUM.CA,Arab Aluminum Co. SAE
AMER.CA,Amer Group Holding
AMES.CA,Alexandria New Medical Center Co.
AMIA.CA,Arab Moltaqa Investments Company
AMOC.CA,Alexandria Mineral Oils Co.
AMPI.CA,AL Moasher Pay for Electronic Payment and Collection (S.A.E)
ANCC.CA,ALNAHDA Industrial Co.
ANFI.CA,Alexandria National Co. for Financial Investment
APSW.CA,Arab Polvara Spinning & Weaving Co.
ARAB.CA,Arab Developers Holding
ARCC.CA,Arabian Cement Company
AREH.CA,Egyptian Real Estate Group
ARVA.CA,Arab Valves Co.
ASCM.CA,ASEC Co. for Mining
ASPI.CA,Aspire Capital Holding for Financial Investments
ATLC.CA,Al Tawfeek Leasing Company-A.T.LEASE
ATQA.CA,Misr National Steel
AXPH.CA,Alexandria Company for Pharmaceuticals and Chemical Industries
BIDI.CA,El Badr Investment and Development - BID
BIGP.CA,ElBarbary Investment Group
BINV.CA,B Investments Holding SAE
BIOC.CA,GlaxoSmithKline S.A.E.
BONY.CA,Bonyan for Development and Trade
BTFH.CA,Beltone Holding
CAED.CA,Cairo Educational Services
CANA.CA,Suez Canal Bank SAE
CCAP.CA,QALA For Financial Investments
CCRS.CA,Gulf Canadian Real Estate Investment Co.
CEFM.CA,Middle Egypt Flour Mills
CERA.CA,Arab Ceramic Co. - Ceramica Remas
CFGH.CA,Concrete Fashion Group for Commercial and Industrial Investments S.A.E
CICH.CA,CI Capital Holding for Financial Investments
CIEB.CA,Credit Agricole Egypt
CIRA.CA,Cairo For Investment And Real Estate Developments -CIRA Education
CLHO.CA,Cleopatra Hospital Company
CNFN.CA,Contact Financial Holding SAE
COMI.CA,Commercial International Bank - Egypt (CIB) S.A.E.
COPR.CA,Cooper for Commercial Investment & Real Estate Development
COSG.CA,Cairo Oils & Soap
CPCI.CA,Kahira Pharmaceuticals & Chemical Industries Co.
CPME.CA,Catalyst Partners Middle East
CRST.CA,Creast Mark For Contracting And Real Estate Development
CSAG.CA,Canal Shipping Agencies Co.
DAPH.CA,Development & Engineering Consultants
DCCC.CA,Damietta Container and Cargo Handling
DEIN.CA,Delta Insurance
DGTZ.CA,Digitize for Investment And Technology
DOMT.CA,Arabian Food Industries Co.
DSCW.CA,Dice Sports & Casual Wear Manufacturers SAE
DTPP.CA,Delta for Printing & Packaging
EALR.CA,El Arabia for Land Reclamation
EASB.CA,Egyptian Arabian Company for Securities Brokerage EAC
EAST.CA,Eastern Company
EBSC.CA,Osool ESB Securities Brokerage
ECAP.CA,El Ezz Ceramics & Porcelain Co. (Gemma)
EDFM.CA,East Delta Flour Mills Co.
EEII.CA,El Arabia Engineering Industries
EFAC.CA,Egyptian Ferro All Egp10
EFIC.CA,Egyptian Financial & Industrial Co.
EFID.CA,Edita Food Industries SAE
EFIH.CA,e-finance for Digital and Financial Investments S.A.E.
EGAL.CA,Egypt Aluminum
EGAS.CA,Egypt Gas Co.
EGBE.CA,Egyptian Gulf Bank
EGCH.CA,Egyptian Chemical Industries
EGREF.CA,Egyptians Real Estate Fund
EGS103V1C018.CA,Sinai Manganese Company
EGS370O1C013.CA,National Printing
EGS385S1C012.CA,Ferchem Misr Co. for Fertilizers & Chemicals
EGS3E7F1C016.CA,Spring And Transportation Needs Manufacturing Co
EGS65101C015.CA,National Investment & Reconstruction
EGS65621C012.CA,El Nasr Housing & Egp5
EGS65861C014.CA,The Egyptian Contracting Co.-AL- ABD
EGS72351C017.CA,Al-Safwa Hospital
EGS72L31C011.CA,SOLARSOL For Energy
EGS72XL1C014.CA,Premium Healthcare Group
EGS73M81C012.CA,National Asset Management And Investment
EGSA.CA,Egyptian Satellite Co.
EGTS.CA,Egyptian for Tourism Resorts
EGWA.CA,General Warehouses of Egypt
EHDR.CA,Egyptians Housing Development & Reconstruction
ELEC.CA,Electro Cable Egypt
ELKA.CA,El Kahera Housing
ELNA.CA,El Nasr for Manufacturing Agricultural Crops
ELSH.CA,El-Shams Housing & Development SA
ELWA.CA,Elwadi for International Investment & Development
EMFD.CA,Emaar Misr for Development SAE
ENGC.CA,Industrial Engineering Co. for Construction & Development
EOSB.CA,El Orouba Securities Brokerage
EPCO.CA,Egypt for Poultry Co.
EPPK.CA,El Ahram Co. for Printing & Packing
ETEL.CA,Telecom Egypt
ETRS.CA,Egyptian Transport & Commercial Services Co. SAE
EXPA.CA,Export Development Bank of Egypt
FAIT.CA,Faisal Islamic Bank of Egypt
FAITA.CA,Faisal Islamic Bank of Egypt
FCMD.CA,International Company for Medical Industries
FIRE.CA,First Investment & Real Estate Development
FNAR.CA,Al Fanar Contracting Construction Trade Import & Export Co.
FTNS.CA,Fitness Prime
FWRY.CA,Fawry For Banking Technology And Electronic Payment
GBCO.CA,GB Corp
GDWA.CA,Gadwa For Industrial Development
GEOS.CA,Geos for trading and contracting
GGCC.CA,Giza General Contracting & Real Estate Investment
GGRN.CA,Gogreen for Agricultural Investment and Development Company
GIHD.CA,Gharbia Islamic Housing Development
GMCI.CA,GMC Group for Industrial Commercial & Financial Investments
GOUR.CA,Gourmet Egypt.Com Foods
GPIM.CA,GPI For Urban Growth
GPPL.CA,Golden Pyramids Plaza
GRCA.CA,Grand Investment Capital
GSSC.CA,General Silos & Storage Co.
GTEX.CA,G-TEX for Commercial and Industrial Investments S.A.E
GTWL.CA,Golden Textiles & Clothes Wool
HAVC.CA,Hassan Allam Investments & Venture Capital S.A.E
HBCO.CA,Heibco Npv
HDBK.CA,Housing & Development Bank
HDST.CA,HEDGESTONE INVESTMENT
HELI.CA,Heliopolis Housing
HRHO.CA,EFG Holding S.A.E.
IBCT.CA,International Business Corp. for Trading & Agencies
ICFC.CA,International Co. for Fertilizers & Chemicals
ICID.CA,International Company for Investment & Development
ICLE.CA,International Co. for Leasing SAE
IDRE.CA,Ismailia Development & Real Estate Co.
IEEC.CA,Industrial & Engineering Enterprises Co.
IFAP.CA,International Agricultural Products
INEG.CA,Integrated Engineering Group S.A.E
INFI.CA,Ismailia National Food Industries
IRON.CA,Egyptian Iron & Steel
ISMA.CA,Ismailia Misr Poultry
ISMQ.CA,Iron & Steel for Mines & Quarries
ISPH.CA,Ibnsina Pharma
JUFO.CA,Juhayna Food Industries
KABO.CA,El Nasr Clothing & Textiles Co.
KNGC.CA,EL- Nasr Glass And Crystal
KORA.CA,KORRA
KRDI.CA,Al Khair River for Development Agriculture Investment and Environmental Services
KWIN.CA,El Kahera El Watania Investment
KZPC.CA,Kafr El Zayat Pesticides & Chemical Co.
LCSW.CA,Lecico Egypt SAE
LUTS.CA,Lotus For Agricultural Investments And Development
MAAL.CA,Marseilla Al Masreia Al Khalegeya for Holding Investment
MASR.CA,Madinet Masr for Housing & Development
MBEG.CA,MB for Engineering & Contracting
MBSC.CA,Misr Beni Suef Cement Co. SAE
MCQE.CA,Misr Cement Co. (Qena)
MCRO.CA,Macro Group Pharmaceutical S.A.E.
MEGM.CA,Middle East Glass Manufacturing SAE
MENA.CA,Mena Touristic & Real Estate Investment
MEPA.CA,Medical Packaging Company
MFPC.CA,Misr Fertilizers Production Company MOPCO
MFSC.CA,Misr Duty Free Shops Co.
MHOT.CA,Misr Hotels Co.
MICH.CA,Misr Chemical Industries Ltd.
MILS.CA,North Cairo Mills Co.
MIPH.CA,Minapharm Pharmaceuticals
MISR.CA,MISR Intercontinental for Granite & Marble
MKIT.CA,Misr Kuwait Investment & Trading Co.
MLIC.CA,Misr Life Insurance
MMAT.CA,Marsa Marsa Alam for Tourism Development
MOED.CA,Egyptian Modern Education Systems
MOIL.CA,Maridive & Oil Services SAE
MOIN.CA,Mohandes Insurance Co.
MOSC.CA,Misr Oils & Soap Co.
MPCI.CA,Memphis Pharmaceutical & Chemical Industries
MPCO.CA,Mansourah Poultry Co.
MPRC.CA,Egyptian Media Production City
MTIE.CA,MM Group for Industry & International Trade
NAHO.CA,Naeem Holding Co.
NARE.CA,Naeem Real Estate Holding Group
NCCW.CA,Nasr Co. for Civil Works
NDRL.CA,National Drilling Co.
NEDA.CA,Northern Upper Egypt Development & Agricultural Production
NHPS.CA,National Housing for Professional Syndicates
NINH.CA,Nozha International Hospital
NIPH.CA,El-Nile Co. for Pharmaceuticals & Chemical Industries
NMIN.CA,El Nasr Mining Co Egp10
OBRI.CA,El Obour Real Estate Investment
OCDI.CA,Six of October Development & Investment (SODIC)
OCPH.CA,October Pharma Co.
ODIN.CA,ODIN Investments
OFH.CA,O B Financial Holding
OIH.CA,Orascom Investment Holding SAE
OLFI.CA,Obour Land for Food Industries
ORAS.CA,Orascom Construction Plc
ORHD.CA,Orascom Development Egypt (S.A.E)
ORWE.CA,Oriental Weavers Carpet
PHAR.CA,Egyptian International Pharmaceutical Industries Co.
PHDC.CA,Palm Hills Development Co.
PHTV.CA,Pyramisa Hotels
POCO.CA,Port Said Container And Cargo Handling
POUL.CA,Cairo Poultry Co.
PRCL.CA,General Co. for Ceramic & Porcelain Products
PRDC.CA,Pioneers Properties for Urban Development
PRMH.CA,Prime Holding
QNBE.CA,Qatar National Bank
RACC.CA,Raya Contact Center
RAKT.CA,Rakta Paper Manufacturing
RAYA.CA,Raya Holding for Financial Investments SAE
RKAZ.CA,REKAZ Financial Holding
RMDA.CA,Tenth of Ramadan Pharmaceutical Industries & Diagnostic-Rameda
ROTO.CA,Rowad Tourism (Al Rowad) Co
RREI.CA,Arab Real Estate Investment Co.
RTVC.CA,Remco for Touristic Villages Construction
RUBX.CA,Rubex International for Plastic & Acrylic Manufacturing
SAIB.CA,Societe Arabe Internationale de Banque
SAUD.CA,Al Baraka Bank Egypt
SCEM.CA,Sinai Cement Co.
SCFM.CA,South Cairo & Giza Mills & Bakeries
SCTS.CA,Sues Canal Co. for Technology Settling
SDTI.CA,Sharm Dreams Co. for Tourism Investment
SEIG.CA,Saudi Egyptian Investment & Finance Co. SAE
SEIGA.CA,Saudi Egyptian Investment & Finance Co. SAE
SIEG.CA,Egyptian Company for Pipes and Cement Products -Siegwart
SIPC.CA,Sabaa International Company for Pharmaceutial and Chemical Industry
SKPC.CA,Sidi Kerir Petrochemicals
SMFR.CA,Samad Misr-EGYFERT
SNFC.CA,Sharkia National Food
SPHT.CA,El Shams Pyramids Co. for Hotels & Touristic Projects SAE
SPIN.CA,Alexandria Spinning & Weaving
SPMD.CA,Speed Medical SAE
SUGR.CA,Delta Sugar
SVCE.CA,South Valley Cement Co.
SWDY.CA,El Sewedy Electric Company
TALM.CA,Taaleem Management Services S.A.E
TANM.CA,Tanmiya for Real Estate Investment
TAQA.CA,TAQA Arabia
TMGH.CA,Talaat Moustafa Group Holding
TRTO.CA,TransOceans Tours
TWSA.CA,TAWASOA FOR FACTORING
UBEE.CA,United Bank SAE
UEFM.CA,Upper Egypt Flour Mills Co.
UEGC.CA,El-Saeed Contracting & Real Estate Investment Co. SCCD
UNIP.CA,Universal Co. for Paper & Packaging Materials-Unipack
UNIT.CA,United Housing Construction SA
UPMS.CA,Union Pharmacist Company For Medical Services And Investment
UTOP.CA,Utopia Real Estate Investment & Tourism SAE
VALU.CA,U Consumer Finance S.A.E
VERT.CA,Vertika for Industry & Trade
VLMR.CA,Valmore Holding
VLMRA.CA,Valmore Holding
WCDF.CA,Middle & West Delta Flour Mills Co.
WKOL.CA,Wadi Kom Ombo Land Reclamation
ZEOT.CA,Extracted Oils & Derivatives Co.
ZMID.CA,Zahraa Maadi Investment & Development
