iter	MultiClass
0	0.9625853326
1	0.8526492677
2	0.7634872582
3	0.6892871486
4	0.6320126917
5	0.5753090811
6	0.5268279628
7	0.4861653786
8	0.4485594477
9	0.417106045
10	0.3878637429
11	0.3636379811
12	0.3417854973
13	0.3211648872
14	0.3017350608
15	0.2850855098
16	0.2707990444
17	0.2562978561
18	0.2433686866
19	0.2316249899
20	0.2208470254
21	0.2117615527
22	0.202578924
23	0.1941493302
24	0.1873654539
25	0.1803224141
26	0.1738262088
27	0.1677204392
28	0.1622648305
29	0.1571486264
30	0.1525288212
31	0.1480846811
32	0.1440507433
33	0.1397516142
34	0.1358809699
35	0.1322867424
36	0.1287777179
37	0.1256331396
38	0.1229348801
39	0.1207047361
40	0.1177618891
41	0.1150579602
42	0.1129281503
43	0.1106048109
44	0.108453875
45	0.1062663525
46	0.1042638135
47	0.1024675657
48	0.1003943835
49	0.09900541671
50	0.09744104336
51	0.09607086648
52	0.09462797726
53	0.09351750435
54	0.09213161448
55	0.0907087358
56	0.08936355603
57	0.08796732231
58	0.08678337376
59	0.08583145698
60	0.08467131452
61	0.08356580229
62	0.08248326148
63	0.0813847493
64	0.08065963745
65	0.07971646788
66	0.07862903006
67	0.07745807132
68	0.07669961595
69	0.07616225124
70	0.07545744386
71	0.07489155535
72	0.07417555793
73	0.07345004319
74	0.07273217967
75	0.07204941262
76	0.07127513984
77	0.07062988861
78	0.07002337025
79	0.06929707564
80	0.06865388343
81	0.06809165598
82	0.06730582221
83	0.06680845625
84	0.06612026158
85	0.06547489956
86	0.06506402981
87	0.06453703386
88	0.06404794101
89	0.06365550615
90	0.06304908531
91	0.0627446823
92	0.06224823232
93	0.06183725154
94	0.06117173152
95	0.06062892499
96	0.06005601368
97	0.05967658745
98	0.05906327282
99	0.05867787226
100	0.05835705618
101	0.057762909
102	0.05735321353
103	0.05696864127
104	0.05656533807
105	0.05617112889
106	0.05580740888
107	0.05550199688
108	0.05517914201
109	0.054800615
110	0.05433598059
111	0.05388695693
112	0.05353783082
113	0.05314820397
114	0.05294083083
115	0.05277001061
116	0.05233201247
117	0.05197980315
118	0.0517437768
119	0.05153813626
120	0.05106250319
121	0.05080056029
122	0.05040248262
123	0.05019578327
124	0.04985400901
125	0.04961680228
126	0.04923627079
127	0.04900267265
128	0.04866900679
129	0.04842442165
130	0.04812821264
131	0.04785448479
132	0.04764199866
133	0.047355118
134	0.04715221786
135	0.04689651789
136	0.04660561556
137	0.04638576698
138	0.04615653087
139	0.0458855721
140	0.04563919153
141	0.0452780643
142	0.04510210537
143	0.04490801781
144	0.04475689921
145	0.04466287005
146	0.04429692348
147	0.04414777929
148	0.04392894806
149	0.04378633165
150	0.04347091361
151	0.04326056309
152	0.04298614175
153	0.04269301074
154	0.04228430834
155	0.04210646586
156	0.04190260444
157	0.04176417247
158	0.04156593729
159	0.04141837527
160	0.04128100515
161	0.04110047635
162	0.04092691737
163	0.04074336746
164	0.0405027534
165	0.04022865487
166	0.04005067272
167	0.03983256764
168	0.03961939435
169	0.03948301446
170	0.0392836733
171	0.03915623758
172	0.03903600586
173	0.03881229285
174	0.03864824063
175	0.03847485241
176	0.03822705206
177	0.0380376682
178	0.03783283648
179	0.03767737504
180	0.03757095428
181	0.03745480084
182	0.03725137822
183	0.03717287403
184	0.03705423951
185	0.03693756388
186	0.03672424387
187	0.03649562077
188	0.03635018059
189	0.03625031911
190	0.03614542374
191	0.03604488721
192	0.03575168508
193	0.035625486
194	0.03544409022
195	0.03525051066
196	0.03517485719
197	0.03506825772
198	0.03496405328
199	0.03487590981
